Fecha,ALIMENTOS Y BEBIDAS,SUMINISTROS INDUSTRIALES,COMBUSTIBLES Y LUBRICANTES,BIENES DE CAPITAL,EQUIPO DE TRANSPORTE Y SUS PIEZAS Y ACCESORIOS,ARTÍCULOS DE CONSUMO
2008-09-01,36.172323,135.716353,56.754099,76.509002,65.130372,36.995073
2008-10-01,43.416346,188.069799,68.90186,104.057796,82.232353,50.50839
2008-11-01,32.204279,150.928102,54.015356,83.732126,68.660053,43.031631
2008-12-01,35.392933,163.12867,27.512854,96.909536,64.984649,48.413378
2009-01-01,39.299055,143.714291,33.77515,88.03621,49.417368,38.631823
2009-02-01,37.478241,107.349555,28.548297,77.081324,32.332624,34.001548
2009-03-01,34.568233,129.606854,27.045856,76.990323,60.762352,37.496748
2009-04-01,29.720291,117.997145,22.677873,87.394573,41.558917,34.115941
2009-05-01,26.317435,120.72951,31.9255,66.817747,46.340277,38.085297
2009-06-01,28.457273,122.491031,27.13023,69.815984,51.549736,34.933667
2009-07-01,30.234069,124.77292,53.582384,77.87347,55.5472,45.603727
2009-08-01,26.199547,125.853538,40.17438,76.185555,61.917511,38.140964
2009-09-01,30.617653,140.11221,54.64539,68.870859,64.233818,39.95423
2009-10-01,32.356232,154.236713,79.241306,80.371461,64.013027,43.77268
2009-11-01,31.965345,144.451515,29.280627,87.345196,85.540568,45.434271
2009-12-01,29.809443,158.297609,42.14237,99.248352,73.077713,47.670318
2010-01-01,24.547667,122.690325,67.22484,103.017433,46.949054,36.470344
2010-02-01,27.901388,119.153529,51.503232,68.309259,33.897184,38.191668
2010-03-01,35.024392,157.589711,65.555524,103.976983,48.481832,50.135549
2010-04-01,33.734774,170.825394,44.539339,88.540458,48.030462,48.335114
2010-05-01,29.44445,152.049091,74.836276,106.792948,57.55694,54.078765
2010-06-01,31.832564,158.270662,50.256844,82.48272,58.720053,53.497225
2010-07-01,36.045306,170.747006,42.13885,92.813015,68.224473,56.439597
2010-08-01,31.059427,153.526979,40.001802,100.503561,66.268169,60.600742
2010-09-01,39.039042,170.800714,44.47928,107.268848,107.652739,65.683285
2010-10-01,30.512003,167.850197,50.868271,97.44167,67.761931,65.996133
2010-11-01,36.211302,177.361078,63.866091,114.826221,64.081338,70.536588
2010-12-01,35.740626,187.317246,53.943545,160.921533,78.763768,72.661899
2011-01-01,35.59326,186.240937,56.669974,116.256063,57.302295,58.606542
2011-02-01,46.3934,168.630982,46.644198,110.91154,52.342128,56.752958
2011-03-01,63.550194,201.023732,81.615958,131.210929,59.111572,74.579734
2011-04-01,62.143081,165.857516,97.717737,127.005929,62.052533,65.860054
2011-05-01,50.364634,183.063121,75.143644,109.098325,62.34798,75.215498
2011-06-01,43.69102,179.744501,155.142846,129.417824,107.377708,68.420878
2011-07-01,44.988271,193.408112,100.301937,131.85045,154.459524,72.679849
2011-08-01,42.070566,217.522283,99.78108,162.294606,147.148617,81.929255
2011-09-01,44.343337,205.170397,100.320548,147.612739,184.447466,87.794227
2011-10-01,46.274469,217.46073,69.343018,162.570708,154.809558,80.941165
2011-11-01,45.817058,227.437897,68.053463,188.162682,153.719873,84.344602
2011-12-01,44.320724,228.229017,112.483733,165.453638,144.741667,87.649139
2012-01-01,36.434812,203.027561,103.195488,135.47424,80.088412,64.340498
2012-02-01,41.166315,196.735814,68.148092,139.893161,97.619138,73.19582
2012-03-01,49.085923,223.840125,83.72073,176.983051,87.138837,85.28189
2012-04-01,40.185337,175.329215,130.948988,131.567283,71.801219,71.66358
2012-05-01,46.37713,204.647407,130.917362,165.889312,129.228636,90.228948
2012-06-01,46.512641,194.422322,64.146575,146.374172,83.971532,82.01827
2012-07-01,46.24438,209.116973,121.974836,158.392756,99.233008,92.120358
2012-08-01,53.37193,234.179041,105.820429,153.8259,113.737497,98.952416
2012-09-01,48.367458,207.239378,53.653151,135.627412,116.472737,84.324313
2012-10-01,59.963819,253.097359,128.619899,151.13056,133.720221,100.858743
2012-11-01,52.164474,238.751526,132.364916,152.775747,125.046567,97.490016
2012-12-01,50.774066,239.756969,94.909085,225.274127,145.383346,100.055749
2013-01-01,45.099965,237.256332,102.125677,164.40844,144.345303,94.879761
2013-02-01,41.054667,208.202179,51.410364,163.398946,96.86819,76.805772
2013-03-01,64.648128,216.744404,126.545859,160.737321,112.671627,85.981971
2013-04-01,53.02448,225.48839,91.792153,203.263324,122.884483,89.468344
2013-05-01,57.26217,230.276243,131.267817,199.179991,108.70456,91.728345
2013-06-01,40.144936,211.611768,64.627088,142.421158,104.482691,79.343565
2013-07-01,49.51682,235.50362,109.072058,178.252791,130.796058,90.445638
2013-08-01,59.910961,239.455152,160.328324,216.935852,120.582933,92.914054
2013-09-01,55.158972,211.486061,65.389269,201.401367,142.938212,85.703268
2013-10-01,76.25558,273.741915,120.066485,204.894443,143.741229,104.651434
2013-11-01,51.502363,249.091574,104.818514,202.489244,152.925807,94.562647
2013-12-01,54.469949,245.742785,116.375254,266.735475,233.185721,103.429046
2014-01-01,60.460163,237.869789,92.738199,239.807023,129.814052,82.27841
2014-02-01,58.315236,223.46514,114.68492,230.931761,114.122733,85.875853
2014-03-01,69.074164,208.474378,82.339975,190.795441,120.02422,83.509382
2014-04-01,70.992532,238.478424,88.537351,211.45438,116.945605,87.199601
2014-05-01,51.226073,256.993746,69.121504,209.771283,115.644381,96.839919
2014-06-01,49.461183,245.557791,96.756395,188.46379,114.857219,90.949625
2014-07-01,59.646376,272.354128,114.180098,268.036746,171.610147,100.417682
2014-08-01,61.133724,238.168739,108.972102,236.922493,222.390774,86.615071
2014-09-01,69.164286,262.456456,111.814424,230.818625,196.381554,100.871112
2014-10-01,63.897789,295.588148,173.705896,273.739902,166.961723,106.425572
2014-11-01,69.781015,252.483798,67.986723,224.527644,174.260239,106.786084
2014-12-01,58.827789,289.506347,94.724139,201.792347,196.944329,107.812839
2015-01-01,49.174065,234.783294,62.445483,184.51519,150.752564,88.767489
2015-02-01,44.228431,219.055551,109.431184,216.153467,121.070225,83.300147
